Wongawallen Rd,0.0,519832.385,6911673.770,ssLastPoint points
Wongawallen Rd,999,519835.824,6911672.510, original point
Wongawallen Rd,0.0,519842.487,6911668.538, more than two points
1 23.2709052893 11.6354526447 11.6354526447
7.75696842977
Wongawallen Rd,0.0,519849.149,6911664.565, more than two points
2 23.2709052893 11.6354526447 23.2709052893
15.5139368595
Wongawallen Rd,999,519855.812,6911660.593, original point
Wongawallen Rd,999,519857.106,6911659.703, original point
Wongawallen Rd,999,519858.269,6911658.753, original point
Wongawallen Rd,999,519859.382,6911657.903, original point
Wongawallen Rd,999,519860.858,6911656.753, original point
Wongawallen Rd,999,519862.623,6911655.134, original point
Wongawallen Rd,999,519865.063,6911653.244, original point
Wongawallen Rd,999,519867.752,6911651.194, original point
Wongawallen Rd,999,519870.399,6911648.765, original point
Wongawallen Rd,999,519873.417,6911646.435, original point
Wongawallen Rd,999,519876.525,6911644.236, original point
Wongawallen Rd,999,519879.807,6911642.016, original point
Wongawallen Rd,999,519883.015,6911639.867, original point
Wongawallen Rd,999,519886.206,6911637.647, original point
Wongawallen Rd,999,519889.405,6911635.648, original point
Wongawallen Rd,999,519892.844,6911633.738, original point
Wongawallen Rd,999,519896.431,6911632.018, original point
Wongawallen Rd,999,519900.216,6911630.439, original point
Wongawallen Rd,999,519904.198,6911628.919, original point
Wongawallen Rd,999,519907.925,6911627.469, original point
Wongawallen Rd,999,519911.982,6911625.880, original point
Wongawallen Rd,999,519916.278,6911624.320, original point
Wongawallen Rd,999,519920.640,6911622.760, original point
Wongawallen Rd,999,519925.134,6911621.171, original point
Wongawallen Rd,999,519929.686,6911619.661, original point
Wongawallen Rd,999,519934.345,6911618.341, original point
Wongawallen Rd,999,519938.913,6911617.141, original point
Wongawallen Rd,999,519942.863,6911615.842, original point
Wongawallen Rd,999,519946.739,6911615.302, original point
Wongawallen Rd,999,519954.935,6911614.602, original point
Wongawallen Rd,999,519958.621,6911613.122, original point
Wongawallen Rd,999,519962.142,6911611.842, original point
Wongawallen Rd,999,519965.473,6911610.653, original point
Wongawallen Rd,999,519969.373,6911610.123, original point
Wongawallen Rd,999,519973.241,6911609.013, original point
Wongawallen Rd,999,519977.075,6911607.623, original point
Wongawallen Rd,999,519980.753,6911606.604, original point
Wongawallen Rd,999,519984.340,6911605.354, original point
Wongawallen Rd,999,519987.556,6911604.854, original point
Wongawallen Rd,999,519991.357,6911604.014, original point
Wongawallen Rd,999,519995.686,6911602.794, original point
Wongawallen Rd,999,519999.817,6911601.895, original point
Wongawallen Rd,999,520003.684,6911601.075, original point
Wongawallen Rd,999,520007.568,6911600.265, original point
Wongawallen Rd,999,520011.402,6911599.535, original point
Wongawallen Rd,999,520015.336,6911598.935, original point
Wongawallen Rd,999,520019.310,6911598.525, original point
Wongawallen Rd,999,520023.326,6911598.225, original point
Wongawallen Rd,999,520027.441,6911597.975, original point
Wongawallen Rd,999,520031.572,6911597.745, original point
Wongawallen Rd,999,520035.233,6911597.815, original point
Wongawallen Rd,999,520038.919,6911597.785, original point
Wongawallen Rd,999,520042.498,6911597.895, original point
Wongawallen Rd,999,520046.052,6911597.745, original point
Wongawallen Rd,999,520049.861,6911597.865, original point
Wongawallen Rd,999,520053.844,6911598.175, original point
Wongawallen Rd,999,520057.744,6911598.335, original point
Wongawallen Rd,999,520061.809,6911598.455, original point
Wongawallen Rd,999,520065.701,6911598.595, original point
Wongawallen Rd,999,520069.371,6911598.865, original point
Wongawallen Rd,999,520072.949,6911598.895, original point
Wongawallen Rd,999,520075.819,6911599.115, original point
Wongawallen Rd,999,520078.557,6911599.385, original point
Wongawallen Rd,999,520081.476,6911599.655, original point
Wongawallen Rd,999,520084.213,6911599.805, original point
Wongawallen Rd,999,520086.893,6911599.945, original point
Wongawallen Rd,999,520089.268,6911600.055, original point
Wongawallen Rd,999,520091.387,6911600.365, original point
Wongawallen Rd,999,520093.152,6911600.675, original point
Wongawallen Rd,999,520095.205,6911600.745, original point
